reference,igbp,class,n_regions,dr_sr_veg,dr_sr_rough,dr_sm
SMAP,2,Evergreen Broadleaf Forest,2,0.2635469766286743,0.5598148956259605,0.5258573075616292
SMAP,5,Mixed Forest,1,0.27083075380161514,0.5177563542550006,0.4325210382986263
SMAP,7,Open Shrublands,1,-0.05865522943556678,0.2767967375980742,0.3073464096601095
SMAP,8,Woody Savannas,5,0.06235412442274844,0.6373458735119609,0.6155189942948349
SMAP,9,Savannas,4,-0.05321878944512726,0.6685855149081676,0.6860609072407599
SMAP,10,Grasslands,1,0.011158357165386878,0.3390948794777429,0.28871422406479735
SMAP,11,Permanent Wetlands,0,,,
SMAP,12,Croplands,4,0.10387637306068145,0.3525357975729474,0.29906058154722426
SMAP,14,Cropland/Natural Vegetation Mosaic,3,0.3393520002749866,0.7600675811189604,0.7227965025762816
SMAP,16,Barren or Sparsely Vegetated,1,0.003187107818625079,0.0008527573673938749,0.09945794198409941
ERA5-Land,2,Evergreen Broadleaf Forest,2,0.06816641383430815,0.4708109840098384,0.44007469991230586
ERA5-Land,5,Mixed Forest,1,0.10039835450937667,0.46708715271452206,0.35041948233802567
ERA5-Land,7,Open Shrublands,1,0.014755672219452898,0.21667499255134876,0.26740533455603827
ERA5-Land,8,Woody Savannas,5,0.02991326083152331,0.3381524349326452,0.4471372918842104
ERA5-Land,9,Savannas,4,-0.04988508136532966,0.3915904400080454,0.44622828744236687
ERA5-Land,10,Grasslands,1,0.010654020421528382,0.5084681481066928,0.5370303762015596
ERA5-Land,11,Permanent Wetlands,1,0.21933674192873123,0.8792931412640566,1.0067885851577973
ERA5-Land,12,Croplands,4,-0.0016285840932621226,0.46878311096084124,0.5311438830778858
ERA5-Land,14,Cropland/Natural Vegetation Mosaic,3,0.25456088388843073,0.8527454403853976,0.8550368000770958
ERA5-Land,16,Barren or Sparsely Vegetated,1,0.006260212570320389,0.031034548979339327,0.10743134993831494
