Region,Bias (SMAP),ubRMSE (SMAP),Bias (ERA5),ubRMSE (ERA5)
Pakistan (Sindh),0.01472959683714833,0.021608878765148987,0.07994768593301006,0.03816567434408809
Mosambique,0.0028860505590085953,0.02878867266155919,-0.08016746071434797,0.056966047872632396
Central African Republic,-0.07543483108038031,0.029602645854899502,-0.01704102193087583,0.04438674456198302
Guatemala & Honduras,-0.09448698756231624,0.04482403736349861,-0.07915464913416603,0.05459632099592278
Brasil,0.0035328809629525783,0.030362595286147303,-0.11506824485205105,0.04679427258384534
"Mississippi, US",-0.08654984010144512,0.04267487981347094,-0.12078767223749735,0.04550485065011672
Mean over regions,-0.039220521730838696,0.03297695162412075,-0.05537856048932136,0.04773565183476472
