region,dr_veg_smap,dr_veg_era5,dr_rough_smap,dr_rough_era5,dr_sm_smap,dr_sm_era5
Pakistan (Sindh),-0.02842881918177831,-0.03254937431627358,0.011467663745315826,0.059668787826108294,-0.08279737930219455,-0.16487019210393028
Mosambique,-0.0025566397265062157,0.000690999158488026,0.008460036681426586,0.01028671208568599,0.016379525855318988,0.020196756049525644
Central African Republic,-0.003160842873354719,-0.005533287622326966,0.0609016168104447,0.012021169061474657,0.055992604919241296,0.006605931320928238
Guatemala & Honduras,0.021097751413067245,0.030857107935204242,0.08262298367357945,0.09725825679544697,0.07622521509505997,0.08701266414422149
Brasil,-0.3406673310053687,0.7022206248677999,-0.0851590584727534,0.7533515028983433,-0.013336160505933115,0.7333503853649609
"Mississippi, US",-0.05094118889842769,-0.058914659902012945,-0.03449829988725206,-0.0405914450326752,-0.01814579594969601,-0.020083281626633642
Mean over regions,-0.06744284504539473,0.10612856835347978,0.007299157091793518,0.14866583060573066,0.005719668351966097,0.11036871052484538
