region,dr_veg_smap,dr_veg_era5,dr_rough_smap,dr_rough_era5,dr_sm_smap,dr_sm_era5
Pakistan (Sindh),0.02508635608793075,0.017203752558605068,0.10619313825195364,0.11211407355642045,0.02717665271116687,-0.022165885416452202
Mosambique,0.04149846730034357,0.05582601739344284,0.1057207027360515,0.10848783157465358,0.11840287554388551,0.12137333236784387
Central African Republic,-0.005312123790219392,0.015259157789532574,0.2353558158941269,0.1809245107447831,0.232317294272403,0.19197044024513576
Guatemala & Honduras,0.11748299281294983,0.12791869217038765,0.2608129367132891,0.26230572946568165,0.23479447532149522,0.23142648418046874
Brasil,-0.006284735251072794,0.30442242304985495,0.29685494181791483,0.5475960658568068,0.39818261986095116,0.5900072452904567
"Mississippi, US",-0.030509605790757455,-0.027616231212034936,0.05724268980638769,0.06517412390974386,0.08762828132106637,0.09995535570468594
Mean over regions,0.02366022522819575,0.0821689686249647,0.17703003753662058,0.21276705585134825,0.18308369983849468,0.20209449539535648
