region,variant,r_smap,nrmse_smap,r_era5,nrmse_era5
Pakistan (Sindh),SR,0.5789906656525707,0.2737499113252551,0.4562096244458239,0.38488952390397696
,SR_veg,0.6040770217405015,0.29289707805765847,0.473413377004429,0.4065158628990853
,SR_rough,0.6851838039045244,0.24753116207850825,0.5683236980022444,0.36144540703921896
,SM,0.6061673183637376,0.2881942157259232,0.4340437390293717,0.40589838220336294
Mosambique,SR,0.8365298984223963,0.17420299989503402,0.8281678634571039,0.21524391364763454
,SR_veg,0.8780283657227399,0.1896927112978557,0.8839938808505468,0.20439307930247655
,SR_rough,0.9422506011584478,0.16437915616555032,0.9366556950317575,0.1731675897874604
,SM,0.9549327739662818,0.13391991323219757,0.9495411958249478,0.14262649525284968
Central African Republic,SR,0.6632706835417199,0.23433024846261724,0.7277795806382852,0.32061543639024753
,SR_veg,0.6579585597515005,0.23481944476590008,0.7430387384278178,0.31500113606505226
,SR_rough,0.8986264994358468,0.13439994200209932,0.9087040913830683,0.2127768283484435
,SM,0.8955879778141229,0.1566067829429882,0.919750020883421,0.16237181500381928
Guatemala & Honduras,SR,0.5147498178477209,0.2199450279013533,0.5042041000814028,0.27107767382209363
,SR_veg,0.6322328106606707,0.19426799705634404,0.6321227922517905,0.2401412742913899
,SR_rough,0.77556275456101,0.1578743171388655,0.7665098295470845,0.19465707988884817
,SM,0.7495442931692161,0.16192702516689736,0.7356305842618716,0.20605027604010973
Brasil,SR,0.04837191610092334,0.2851645005795123,0.019225750888262914,0.3180281969776343
,SR_veg,0.042087180849850546,0.2866887890568976,0.32364817393811784,0.2703860556356275
,SR_rough,0.34522685791883817,0.22510171338438437,0.5668218167450697,0.20883946770409686
,SM,0.4465545359618745,0.2043905209709711,0.6092329961787196,0.20228836819540438
"Mississippi, US",SR,0.6999992659581644,0.2478111303525777,0.6207518519067323,0.3120062788904173
,SR_veg,0.669489660167407,0.23702584921353603,0.5931356206946974,0.29520970818838815
,SR_rough,0.7572419557645521,0.2046387059362426,0.6859259758164762,0.2626783919418047
,SM,0.7876275472792308,0.1849405268089768,0.7207072076114183,0.2415541227485102
