Region,Mean VWC (kg/m2),Share of cells VWC > 5 (%)
Pakistan (Sindh),0.5278916129019849,0.0
Mozambique,2.71247880275351,0.1076426264800861
Central African Republic,3.5437161126587906,0.0
Guatemala--Honduras,5.8000556005204515,43.15412186379928
Brasil,1.6720231859508716,2.7285782671134515
"Mississippi, US",5.63631787404396,49.385474860335194
