reference,class,dr_sr_veg_smooth,dr_sr_rough_smooth,dr_sm_smooth,dr_sr_veg_raw,dr_sr_rough_raw,dr_sm_raw
smap,Evergreen Broadleaf Forest,0.2635469766286743,0.5598148956259605,0.5258573075616292,0.045116415878414924,0.19168973557453234,0.13008334571224084
smap,Mixed Forest,0.27083075380161514,0.5177563542550006,0.4325210382986263,0.05075722142325132,0.25607565899918766,0.17288887395985525
smap,Open Shrublands,-0.05865522943556678,0.2767967375980742,0.3073464096601095,-0.0444015162401753,0.18310460281563606,0.14711384909710518
smap,Woody Savannas,0.06235412442274844,0.6373458735119609,0.6155189942948349,0.014836363147301856,0.36310233986117424,0.37349761612885546
smap,Savannas,-0.05321878944512726,0.6685855149081676,0.6860609072407599,-0.009442883099580884,0.3793397287009753,0.3427366368972752
smap,Grasslands,0.011158357165386878,0.3390948794777429,0.28871422406479735,0.005021639076172479,0.30578559974334407,0.11624100830577275
smap,Permanent Wetlands,,,,,,
smap,Croplands,0.10387637306068145,0.3525357975729474,0.29906058154722426,0.04802600851084968,0.21787521415231326,0.10604016380098406
smap,Cropland/Natural Vegetation Mosaic,0.3393520002749866,0.7600675811189604,0.7227965025762816,0.08674196492869625,0.4596009239559104,0.43682781603704174
smap,Barren or Sparsely Vegetated,0.003187107818625079,0.0008527573673938749,0.09945794198409941,0.0024029078547967986,-0.07168114557200511,-0.0068285771409958285
era5,Evergreen Broadleaf Forest,0.06816641383430815,0.4708109840098384,0.44007469991230586,-0.0006364870224586233,0.16469582671725294,0.08010375607901737
era5,Mixed Forest,0.10039835450937667,0.46708715271452206,0.35041948233802567,0.016870644558039827,0.3221333677904747,0.2216067218976902
era5,Open Shrublands,0.014755672219452898,0.21667499255134876,0.26740533455603827,0.009366400433026612,0.05712787580029938,0.05474384633646817
era5,Woody Savannas,0.02991326083152331,0.3381524349326452,0.4471372918842104,0.006508761913837438,0.2206904714482346,0.2756965614847802
era5,Savannas,-0.04988508136532966,0.3915904400080454,0.44622828744236687,-0.027722198734649997,0.19652308652896128,0.19790807043848727
era5,Grasslands,0.010654020421528382,0.5084681481066928,0.5370303762015596,0.008723596281007419,0.24847768438940376,0.2373139475973266
era5,Permanent Wetlands,0.21933674192873123,0.8792931412640566,1.0067885851577973,-0.004741436849654154,0.3301332224694644,0.3031529174975517
era5,Croplands,-0.0016285840932621226,0.46878311096084124,0.5311438830778858,0.013988163715760487,0.2619079639860726,0.21728248326829014
era5,Cropland/Natural Vegetation Mosaic,0.25456088388843073,0.8527454403853976,0.8550368000770958,0.07855183251526913,0.5037775485344854,0.5053490916788568
era5,Barren or Sparsely Vegetated,0.006260212570320389,0.031034548979339327,0.10743134993831494,0.003190217733665346,0.010209776869852027,0.031033380616162065
