region,dr_veg_smap,dr_veg_era5,dr_rough_smap,dr_rough_era5,dr_sm_smap,dr_sm_era5
Pakistan (Sindh),-0.005046114747131236,0.022422916702350415,-0.01945674456956825,-0.06670605575989352,0.005541614587927013,-0.02883702199854765
Mosambique,-0.17988729501877088,-0.15686939295050822,0.37299220169377817,0.3991393988908127,0.39399798427217886,0.4043539986046622
Central African Republic,-0.1069960625875368,0.020740571236191448,0.7889158033977121,-0.17166306690970404,0.7279826734774815,0.022341252323436867
Guatemala & Honduras,0.23396029606092866,0.02976504719365833,0.2541058085882081,0.11494285613397062,0.11214731515750864,0.020658747233110453
Brasil,-0.01388028826072904,-0.023748623651600107,0.3967914444149927,0.4375491926534066,0.35971786302505615,0.4814646196921624
"Mississippi, US",0.29864464069169944,0.1499927028824927,0.5775784936307278,0.5823952719573895,0.4663792247557385,0.4782376802542272
Mean over regions,0.037799196023076694,0.007050536902097425,0.3951545011926418,0.21594293282766364,0.34429444587931507,0.22970321268484192
