region,variant,r_smap,nrmse_smap,r_era5,nrmse_era5
Pakistan (Sindh),SR,0.8466447727184313,0.21476710436793586,0.6028498535983429,0.2833387015620513
,SR_veg,0.8415986579713001,0.2158701845355249,0.6252727703006933,0.2803370518043423
,SR_rough,0.827188028148863,0.24485016045540173,0.5361437978384493,0.28129461142729656
,SM,0.8521863873063583,0.17058374065474233,0.5740128315997952,0.18984290092093878
Mosambique,SR,-0.004488336054690165,0.20398419390831024,-0.10634839530770673,0.23457133120869184
,SR_veg,-0.18437563107346103,0.22101346173525246,-0.26321778825821496,0.24486569459902432
,SR_rough,0.368503865639088,0.1986213874337256,0.29279100358310595,0.18506666027479893
,SM,0.3895096482174887,0.17255245347571857,0.29800560329695547,0.21765682068542808
Central African Republic,SR,-0.5905807028563972,0.3875901335903316,0.038949500384214825,0.299569953369091
,SR_veg,-0.697576765443934,0.4276934954535253,0.05969007162040627,0.31692178730939435
,SR_rough,0.19833510054131487,0.26721833959472097,-0.1327135665254892,0.28960519876602403
,SM,0.13740197062108425,0.27791466068007004,0.06129075270765169,0.27913995428404664
Guatemala & Honduras,SR,0.15590758060914756,0.2452694498996625,0.09446310777463066,0.26500547713423184
,SR_veg,0.3898678766700762,0.2073567513759055,0.12422815496828898,0.24294541153365382
,SR_rough,0.41001338919735564,0.1647649954180847,0.20940596390860128,0.17944979958798477
,SM,0.2680548957666562,0.20329058754127344,0.11512185500774111,0.21502784714350331
Brasil,SR,0.18919887655101797,0.23562255009558203,0.04884991258421073,0.32321535833153325
,SR_veg,0.17531858829028893,0.23175669895150044,0.025101288932610624,0.326797908347096
,SR_rough,0.5859903209660107,0.24258890916092266,0.4863991052376173,0.2520936015790919
,SM,0.5489167395760741,0.17057659583621518,0.5303145322763732,0.2781895105980928
"Mississippi, US",SR,-0.2024315898183956,0.3044166845651629,-0.1867888265811607,0.3120763783220947
,SR_veg,0.09621305087330384,0.24739980784418192,-0.036796123698668,0.3009014950499128
,SR_rough,0.37514690381233223,0.18577372923031868,0.39560644537622885,0.25083722794609287
,SM,0.2639476349373429,0.2187662817643274,0.2914488536730665,0.32041935071029715
